Model,Decimate Scale,Vertices,,Edges,Faces,Triangles,,,
9,30.40086951,15.00972127,,,,,,,
10,29.32162486,14.81098634,,,,,,,
11,28.94737139,14.29184998,,,,,,,
12,24.37666372,12.93189674,,,,,,,
13,29.95701049,61687291,,,,,,,
14,52.27381968,30.2716212,,,,,,,
15,56.76345024,13.32691971,,,,,,,
16,59.05757109,13.37240107,,,,,,,
17,55.32388066,16.89046533,,,,,,,
18,59.50456617,15.27118292,,,,,,,
19,29.64118838,15.65967615,,,,,,,
20,60.27027118,20.36834896,,,,,,,
Avg,40.69,,,,,,,,
